PAJO, -25.082500 -68.554333 4453 
AZUF, -34.837500 -70.364500 3852 
COLO, -36.133500 -70.471167 2285 
FILO, -38.348167 -71.605667 1846 
CAQ, -37.945000 -71.408167 2354 
PINT, -41.810500 -72.352833 1567 
CARR, -35.217833 -70.629667 2024 
ELTO, -37.380833 -71.380333 1507 
ADU2, -35.147333 -70.471333 2061 
ARAN, -35.786500 -70.778167 1260 
AVAL, -21.246000 -68.296000 3768 
PORU, -21.870167 -68.483833 3616 
BLOQ, -20.719667 -68.582667 4155 
LASC, -23.347167 -67.781833 4219 
GUP, -35.541167 -71.036333 2270 
ADAL, -46.031500 -72.749000 1159 
AYSN, -45.378333 -72.688167 63 
CHAC, -45.428000 -72.761167 67 
VNTQ, -42.881500 -72.455167 458 
PHPI, -44.320500 -72.567833 47 
PDRA, -42.853500 -72.346000 1493 
MLLO, -43.205667 -72.880667 110 
MGDN, -44.634833 -72.925000 59 
RMBA, -43.888833 -72.906833 37 
LOPS, -44.113667 -73.118333 44 
PSTO, -42.811167 -72.364833 1311 
GLCR, -42.784333 -72.510167 843 
CYQE, -45.541000 -72.055167 504 
LJUN, -43.993333 -72.462333 307 
USPA, -44.952500 -73.103333 15 
HUEM, -45.865667 -73.113000 1224 
CUEV, -45.169167 -73.095667 1161 
YLTN, -45.058167 -73.108667 1019 
IN41, -30.002667 -71.315667 171 
IN40, -29.966333 -71.249667 158 
A13P, -18.518833 -70.179333 291 
A16P, -19.160000 -70.179667 128 
A06P, -18.469667 -70.293333 76 
A04P, -18.833667 -69.744500 1897 
A05P, -18.486333 -70.300500 76 
T13A, -20.496333 -69.337500 1348 
T18A, -20.708000 -68.695167 3805 
A13F, -22.086500 -70.196000 51 
A14F, -22.093500 -70.200167 70 
A06F, -22.344167 -69.658167 1288 
A12P, -18.452667 -70.066667 604 
A07F, -21.627833 -69.551167 837 
A11F, -21.424833 -70.056833 45 
A03P, -18.497167 -69.154000 4286 
A20F, -22.453667 -68.910000 2333 
C10O, -30.233833 -71.081667 1085 
C19O, -30.093500 -71.369000 94 
C26O, -30.259000 -71.490333 35 
C04O, -29.942333 -71.263167 52 
C06O, -29.917833 -71.200833 170 
C33O, -29.910667 -71.250833 55 
C01O, -29.877000 -71.237833 107 
C20O, -29.968167 -71.337333 69 
C22O, -29.965500 -71.351167 46 
C13O, -30.579333 -71.494500 245 
C18O, -30.277667 -70.669167 1235 
C14O, -30.123167 -70.490667 1263 
C09O, -29.510500 -71.200167 612 
C07O, -31.633667 -71.167500 333 
A24C, -29.098500 -70.460833 1644 
A23C, -28.972833 -70.215667 1339 
A22C, -28.754833 -70.485500 828 
C11O, -30.696333 -70.958833 454 
M10L, -35.843000 -72.630167 42 
M13L, -36.142500 -71.823167 195 
B06I, -36.486167 -72.700333 61 
M09L, -35.590833 -72.281333 433 
B01I, -36.842500 -73.113167 32 
B04I, -37.088333 -73.160333 68 
T15A, -20.239333 -70.053833 731 
T12A, -20.070667 -69.217167 2810 
B02I, -36.782833 -73.102000 34 
B17I, -37.038167 -72.405167 152 
A10Y, -45.164167 -73.523333 37 
L06R, -40.293167 -73.084333 51 
L10R, -40.069500 -72.872833 110 
L07R, -40.128000 -72.393500 154 
L09L, -41.865167 -73.826167 46 
L05L, -41.153667 -73.417500 171 
V07A, -33.365500 -71.669000 66 
V02A, -33.023167 -71.517833 269 
R12M, -33.388667 -70.621500 544 
R13M, -33.215500 -70.766833 530 
V05A, -32.969833 -71.542500 54 
V11A, -32.755667 -70.726167 679 
R02M, -33.472833 -70.659833 553 
